,工程名稱,監造單位,施工廠商,施工期間,決標金額,重要公告,設計單位
149,106年金門縣既有廚餘堆肥場改善及擴建統包工程（含代操作營運）,晶淨科技股份有限公司,(Labor Safety And Health Personnel),民國106年12月07日至109年07月12日,"53,958千元",截至108年08月底實際進度：  93.77%,力佑國際營造股份有限公司
150,金沙鎮大地活動中心周邊美化工程,鴻邁工程顧問有限公司,瑋宬營造有限公司,民國108年09月15日至108年11月16日,"1,550千元",截至108年09月底實際進度：   0.13%,
151,中蘭區排攔蓄水等排水改善工程,達盛工程顧問有限公司,華成營造有限公司,民國105年09月15日至108年03月13日,"39,480千元",截至108年09月底實際進度： 100.00%,
152,金沙鎮金山道殿前道路改善工程,鴻邁工程顧問有限公司,鈞鼎營造有限公司,民國107年06月05日至108年06月30日,"4,282千元",截至108年08月底實際進度： 100.00%,
153,西園路西園至浯坑路平改善工程,鴻邁工程顧問有限公司金門分公司,泉昇營造股份有限公司,民國107年08月05日至108年05月30日,"26,570千元",截至108年08月底實際進度： 100.00%,
154,官澳環海至光華路二段道路改善工程,鴻邁工程顧問有限公司金門分公司,泉昇營造股份有限公司,民國107年07月13日至108年04月02日,"14,500千元",截至108年09月底實際進度： 100.00%,
155,金沙鎮官澳龍鳳宮三期周邊環境改善工程,鴻邁工程顧問有限公司金門分公司,興洪營造有限公司,民國107年11月21日至108年10月30日,"15,800千元",截至108年08月底實際進度：  74.08%,
156,金門縣金沙鎮田埔大地活動中心新建工程,許育鳴建築師事務所,霖昌營造有限公司,民國106年12月20日至108年05月17日,"7,780千元",截至108年09月底實際進度： 100.00%,
157,金東戲院週邊環境改善工程,李隆鈞建築師事務所,尚燁營造有限公司,民國105年03月03日至108年10月30日,"12,790千元",截至108年08月底實際進度：  73.82%,
158,108年度金沙鎮頹屋危屋處理作業工程,鴻邁工程顧問有限公司金門分公司,恆富營造有限公司,民國108年09月20日至年月日,"4,950千元",截至年月底實際進度：(未填)%,
159,108年度金沙鎮零星修繕及搶修工程,鴻邁工程顧問有限公司金門分公司,鈞鼎營造有限公司,民國108年08月15日至108年12月15日,"2,900千元",截至108年08月底實際進度：  25.55%,
160,107年度何厝池塘改善工程,鴻邁工程顧問有限公司金門分公司,明垚營造有限公司,民國108年06月20日至108年09月26日,"4,140千元",截至108年08月底實際進度：  65.33%,
161,金沙鎮堤南抽水站等處排水設施改善工程,鴻邁工程顧問有限公司金門分公司,勤豐土木包工業(金門縣),民國108年08月05日至108年11月06日,"1,390千元",截至108年09月底實際進度：  78.33%,
162,高坑基礎設施及排水改善工程,鴻邁工程顧問有限公司金門分公司,勤豐土木包工業(金門縣),民國108年07月22日至108年11月13日,"3,330千元",截至108年08月底實際進度：  39.88%,
163,金沙鎮西園里后珩現有圍牆整修工程,鴻邁工程顧問有限公司,亮霆營造有限公司,民國108年08月05日至108年11月29日,"2,100千元",截至108年08月底實際進度：  44.50%,
164,107年度金沙鎮頹屋危屋處理作業工程,鴻邁工程顧問有限公司金門分公司,恆富營造有限公司,民國108年01月03日至108年11月05日,"11,550千元",截至108年09月底實際進度：  77.95%,
165,金沙鎮斗門劃測段700號等水溝及地坪改善工程,鴻邁工程顧問有限公司,信邦營造有限公司,民國107年12月04日至108年11月14日,"3,880千元",截至108年09月底實際進度：  92.88%,
166,金沙鎮東珩環境改善工程,鴻邁工程顧問有限公司金門分公司,尚燁營造有限公司,民國108年01月03日至108年12月17日,"6,950千元",截至108年08月底實際進度：  15.38%,
167,106年度金沙鎮浯坑聚落整建工程,鴻邁工程顧問有限公司金門分公司,亞郁營造有限公司,民國108年01月15日至108年07月10日,"10,600千元",截至108年08月底實際進度： 100.00%,
168,金沙鎮后水頭聯外道路改善工程,鴻邁工程顧問有限公司金門分公司,信邦營造有限公司,民國108年01月15日至108年09月20日,"17,890千元",截至108年08月底實際進度：  51.89%,
169,108年金沙鎮疏濬清淤改善工程(開口契約),鴻邁工程顧問有限公司金門分公司,建將土木包工業,民國108年06月01日至108年12月15日,"2,680千元",截至108年09月底實際進度：  88.51%,
170,金沙鎮新前墩及東沙尾聚落環境改善工程,鴻邁工程顧問有限公司金門分公司,亞郁營造有限公司,民國108年03月08日至108年10月31日,"12,377千元",截至108年08月底實際進度：  85.18%,
171,金沙鎮東蕭排水溝護岸改善工程,鴻邁工程顧問有限公司,隆都營造有限公司,民國108年02月20日至108年08月06日,"2,495千元",截至108年08月底實際進度： 100.00%,
172,洋山海堤聯外道路改善工程,鴻邁工程顧問有限公司金門分公司,紀揚營造有限公司,民國108年03月15日至108年12月16日,"5,320千元",截至108年09月底實際進度： 100.00%,
173,金沙鎮金沙國中至菜市場道路改善工程,鴻邁工程顧問有限公司金門分公司,瑋宬營造有限公司,民國108年03月28日至108年10月28日,"1,680千元",截至108年09月底實際進度： 100.00%,
174,浦邊區域排水及周邊親水環境改善工程,鴻邁工程顧問有限公司金門分公司,旺華營造有限公司,民國108年03月25日至108年09月25日,"11,980千元",截至108年08月底實際進度：  63.32%,
175,金沙鎮107年度東山、內洋聚落環境改善工程,鴻邁工程顧問有限公司金門分公司,尚燁營造有限公司,民國108年01月10日至108年09月27日,"6,700千元",截至108年08月底實際進度：  99.97%,
176,金門縣金沙鎮后浦頭暨五福街活動中心興建工程,黃偉倫建築事務所,精川營造股份有限公司,民國108年02月05日至109年02月11日,"17,424千元",截至108年09月底實際進度：  26.62%,
177,107年度金沙鎮官嶼里零星整建工程,鴻邁工程顧問有限公司金門分公司,鴻沂營造有限公司,民國107年11月15日至108年08月02日,"2,860千元",截至108年08月底實際進度： 100.00%,
178,青嶼聚落環境改善工程,鴻邁工程顧問有限公司,尚燁營造有限公司,民國108年01月18日至108年10月18日,"9,950千元",截至108年09月底實際進度：  96.42%,
179,107年度西山前聚落環境改善工程,鴻邁工程顧問有限公司金門分公司,和信土木包工業(金門縣),民國108年04月08日至108年07月30日,"4,046千元",截至108年08月底實際進度： 100.00%,
180,金沙鎮斗門七星池整建工程,鴻邁工程顧問有限公司金門分公司,尚燁營造有限公司,民國108年05月15日至108年09月04日,"5,580千元",截至108年08月底實際進度：  27.31%,
181,金沙鎮浦邊出海口道路改善工程,鴻邁工程顧問有限公司金門分公司,亮霆營造有限公司,民國107年11月06日至108年04月11日,"1,585千元",截至108年08月底實際進度： 100.00%,
182,金沙鎮沙碧劃段501、466等地號產業道路新建工程,鴻邁工程顧問有限公司金門分公司,瑋宬營造有限公司,民國108年01月25日至108年09月16日,"8,980千元",截至108年08月底實際進度：  96.58%,
183,金沙鎮沙溪一劃段715地號農田排水暨產業道路整建工程,鴻邁工程顧問有限公司金門分公司,守信營造有限公司,民國108年05月06日至108年10月28日,"10,600千元",截至108年08月底實際進度：  94.75%,
184,高坑登山步道及周邊環境整建工程,鴻邁工程顧問有限公司金門分公司,金殿營造有限公司,民國108年04月30日至108年09月19日,"3,920千元",截至108年08月底實際進度：  55.49%,
185,金沙鎮大山段410-1地號排水改善工程,鴻邁工程顧問有限公司金門分公司,高昂營造有限公司,民國108年04月11日至108年09月29日,"3,090千元",截至108年08月底實際進度：  68.64%,
186,金沙鎮北九劃段1446等地號農田排水暨產業道路整建工程,鴻邁工程顧問有限公司金門分公司,鴻沂營造有限公司,民國108年01月02日至108年06月13日,"2,580千元",截至108年08月底實際進度： 100.00%,
187,金沙鎮浯坑劃測段443-1地號農田排水改善工程,鴻邁工程顧問有限公司金門分公司,亮霆營造有限公司,民國108年01月10日至108年05月09日,"1,231千元",截至108年08月底實際進度： 100.00%,
188,金沙鎮汶沙里農田排水暨產業道路整建工程,鴻邁工程顧問有限公司金門分公司,睿宏營造有限公司,民國107年07月30日至108年06月14日,"4,378千元",截至108年08月底實際進度： 100.00%,
189,內洋靶場至環島東路聯外道路拓寬工程,鴻邁工程顧問有限公司金門分公司,瑋宬營造有限公司,民國108年02月20日至108年09月10日,"2,368千元",截至108年08月底實際進度：  99.20%,
190,107年度多年段1353-1地號產業道路修繕工程,鴻邁工程顧問有限公司金門分公司,勤豐土木包工業(金門縣),民國108年02月20日至108年06月20日,"1,728千元",截至108年08月底實際進度： 100.00%,
191,金沙溪周邊農田排水改善工程,鴻邁工程顧問有限公司金門分公司,岩輝營造有限公司,民國107年08月20日至108年11月26日,"23,770千元",截至108年08月底實際進度：  78.30%,
192,金沙鎮公用停車場新建工程,鴻邁工程顧問有限公司金門分公司,鑫富營造有限公司,民國107年05月01日至107年12月12日,"5,840千元",截至108年08月底實際進度： 100.00%,
193,金沙鎮中蘭聚落聯外道路改善工程,鴻邁工程顧問有限公司金門分公司,恆富營造有限公司,民國107年05月21日至108年10月31日,"2,390千元",截至108年08月底實際進度：  75.09%,
194,大士宮右前側新建涼亭周邊綠美化工程,鴻邁工程顧問有限公司金門分公司,昌陞營造有限公司,民國107年10月01日至107年12月22日,"2,499千元",截至108年08月底實際進度： 100.00%,
195,金沙鎮斗門劃測段35-2地號農田排水暨產業道路整建工程,鴻邁工程顧問有限公司金門分公司,睿宏營造有限公司,民國107年11月23日至108年09月30日,"9,238千元",截至108年08月底實際進度： 100.00%,
196,金沙鎮劉澳出海口道路整建工程,鴻邁工程顧問有限公司金門分公司,尚燁營造有限公司,民國107年12月10日至108年09月30日,"5,130千元",截至108年08月底實際進度：  95.00%,
197,西園五龍山成功堡碉堡環境改善工程,鴻邁工程顧問有限公司金門分公司,霖昌營造有限公司,民國107年11月20日至108年09月23日,"15,552千元",截至108年08月底實際進度：  90.86%,
198,三山里、大洋里道路整建工程,鴻邁工程顧問有限公司金門分公司,信邦營造有限公司,民國108年06月20日至108年09月11日,"4,650千元",截至108年08月底實際進度：  40.58%,
199,洋西一及金剛六營區整修工程,陸軍金門防衛指揮部,德庚營造有限公司,民國108年04月17日至108年07月17日,"3,517千元",截至108年09月底實際進度： 100.00%,
200,金城鎮公所周邊延伸平面式公共停車場工程,潘天壹建築師事務所,鼎翰營造有限公司,民國108年07月20日至108年10月05日,"1,210千元",截至108年08月底實際進度：  55.99%,
201,金門縣金城鎮珠山日間照顧中心室內裝修設計工程,里埕設計工坊,兆輝營造有限公司,民國106年12月21日至107年05月16日,"2,773千元",截至108年08月底實際進度：  94.32%,
202,金門縣議會生活館暨警衛室新建工程,陳昆豐建築師事務所,弘邦技術股份有限公司,民國107年04月10日至109年10月15日,"95,800千元",截至108年08月底實際進度：  43.99%,陳昆豐建築師事務所
203,金門縣金城綜合社會福利館新建工程,陳昆豐建築師事務所,熊敏營造有限公司,民國107年02月23日至108年09月17日,"84,500千元",截至108年08月底實際進度：  74.36%,陳昆豐建築師事務所
204,民權路法院至中華電信前人行道改善工程,誠蓄工程顧問股份有限公司,萬成營造有限公司,民國108年07月10日至108年09月17日,"2,470千元",截至108年08月底實際進度：  69.67%,
